timestamp,date,symbol,window,n_items,sentiment_mean,sentiment_min,negative_share,top_topics,sources
2020-01-01T15:45:00-05:00,2020-01-01,SPY,24h,1,0.9233,0.9233,0.0,"[""earnings"", ""macro""]","[""benzinga""]"
2020-01-02T15:45:00-05:00,2020-01-02,SPY,24h,0,0.0,0.0,0.0,[],[]
2020-01-03T15:45:00-05:00,2020-01-03,SPY,24h,0,0.0,0.0,0.0,[],[]
2020-01-06T15:45:00-05:00,2020-01-06,SPY,24h,0,0.0,0.0,0.0,[],[]
2020-01-07T15:45:00-05:00,2020-01-07,SPY,24h,0,0.0,0.0,0.0,[],[]
2020-01-08T15:45:00-05:00,2020-01-08,SPY,24h,0,0.0,0.0,0.0,[],[]
2020-01-09T15:45:00-05:00,2020-01-09,SPY,24h,1,0.8022,0.8022,0.0,[],"[""reuters""]"
2020-01-10T15:45:00-05:00,2020-01-10,SPY,24h,0,0.0,0.0,0.0,[],[]
2020-01-13T15:45:00-05:00,2020-01-13,SPY,24h,1,0.9313,0.9313,0.0,[],"[""benzinga""]"
2020-01-14T15:45:00-05:00,2020-01-14,SPY,24h,0,0.0,0.0,0.0,[],[]
2020-01-15T15:45:00-05:00,2020-01-15,SPY,24h,0,0.0,0.0,0.0,[],[]
2020-01-16T15:45:00-05:00,2020-01-16,SPY,24h,0,0.0,0.0,0.0,[],[]
2020-01-17T15:45:00-05:00,2020-01-17,SPY,24h,1,0.8752,0.8752,0.0,[],"[""businesswire""]"
2020-01-20T15:45:00-05:00,2020-01-20,SPY,24h,0,0.0,0.0,0.0,[],[]
2020-01-21T15:45:00-05:00,2020-01-21,SPY,24h,1,-0.8789,-0.8789,1.0,[],"[""reuters""]"
2020-01-22T15:45:00-05:00,2020-01-22,SPY,24h,0,0.0,0.0,0.0,[],[]
2020-01-23T15:45:00-05:00,2020-01-23,SPY,24h,0,0.0,0.0,0.0,[],[]
2020-01-24T15:45:00-05:00,2020-01-24,SPY,24h,0,0.0,0.0,0.0,[],[]
2020-01-27T15:45:00-05:00,2020-01-27,SPY,24h,0,0.0,0.0,0.0,[],[]
