timestamp,open,high,low,close,volume,symbol
2026-06-25 09:30:00-04:00,738.91,739.37,736.86,737.3399,2290954,SPY
2026-06-25 09:35:00-04:00,737.31,738.025,736.88,736.96,728645,SPY
2026-06-25 09:40:00-04:00,736.99,737.1165,734.0401,734.29,956280,SPY
2026-06-25 09:45:00-04:00,734.3,734.785,731.54,732.8899,1504795,SPY
2026-06-25 09:50:00-04:00,732.89,733.66,730.5,730.7,1122053,SPY
2026-06-25 09:55:00-04:00,730.66,731.22,729.6,729.835,1333328,SPY
2026-06-25 10:00:00-04:00,729.835,733.53,729.78,733.24,1285270,SPY
2026-06-25 10:05:00-04:00,733.27,735.03,733.25,734.91,975194,SPY
2026-06-25 10:10:00-04:00,734.93,735.86,734.05,734.12,942601,SPY
2026-06-25 10:15:00-04:00,734.13,735.67,733.18,735.56,572213,SPY
2026-06-25 10:20:00-04:00,735.555,736.5,734.51,735.0,684376,SPY
2026-06-25 10:25:00-04:00,735.01,735.92,734.81,735.475,468631,SPY
2026-06-25 10:30:00-04:00,735.44,737.1,735.32,736.37,690777,SPY
2026-06-25 10:35:00-04:00,736.38,736.84,735.5899,736.645,389804,SPY
2026-06-25 10:40:00-04:00,736.67,736.76,734.77,735.4099,511150,SPY
2026-06-25 10:45:00-04:00,735.39,736.59,734.75,736.35,460281,SPY
2026-06-25 10:50:00-04:00,736.33,737.82,736.02,737.8,570673,SPY
2026-06-25 10:55:00-04:00,737.73,737.73,735.03,735.23,682515,SPY
2026-06-25 11:00:00-04:00,735.26,736.23,734.86,736.16,360286,SPY
2026-06-25 11:05:00-04:00,736.1601,736.52,734.5,734.76,573608,SPY
2026-06-25 11:10:00-04:00,734.75,734.89,732.62,732.97,759178,SPY
2026-06-25 11:15:00-04:00,732.98,733.875,731.85,733.67,869307,SPY
2026-06-25 11:20:00-04:00,733.64,734.85,732.95,734.5101,438640,SPY
2026-06-25 11:25:00-04:00,734.51,734.86,733.7811,734.29,318833,SPY
2026-06-25 11:30:00-04:00,734.29,735.45,734.09,734.2231,363481,SPY
2026-06-25 11:35:00-04:00,734.22,734.95,734.19,734.21,262389,SPY
2026-06-25 11:40:00-04:00,734.22,734.88,733.92,734.77,243193,SPY
2026-06-25 11:45:00-04:00,734.75,735.79,734.32,734.449,353941,SPY
2026-06-25 11:50:00-04:00,734.42,734.9636,734.08,734.6,350497,SPY
2026-06-25 11:55:00-04:00,734.57,734.95,734.0,734.14,312731,SPY
2026-06-25 12:00:00-04:00,734.16,734.39,733.67,734.15,419773,SPY
2026-06-25 12:05:00-04:00,734.17,735.41,733.998,735.33,313185,SPY
2026-06-25 12:10:00-04:00,735.33,736.18,735.23,735.69,275271,SPY
2026-06-25 12:15:00-04:00,735.71,736.27,735.41,735.5,459374,SPY
2026-06-25 12:20:00-04:00,735.51,735.76,734.27,734.4401,231278,SPY
2026-06-25 12:25:00-04:00,734.445,734.62,733.94,734.19,145748,SPY
2026-06-25 12:30:00-04:00,734.225,734.225,732.97,733.3899,270861,SPY
2026-06-25 12:35:00-04:00,733.3475,733.59,732.66,732.77,236045,SPY
2026-06-25 12:40:00-04:00,732.77,732.96,732.115,732.29,307419,SPY
2026-06-25 12:45:00-04:00,732.29,732.91,731.5,732.8,483054,SPY
2026-06-25 12:50:00-04:00,732.81,733.09,732.2817,732.7,185405,SPY
2026-06-25 12:55:00-04:00,732.73,732.74,732.07,732.54,263554,SPY
2026-06-25 13:00:00-04:00,732.56,733.0199,732.49,732.5078,272270,SPY
2026-06-25 13:05:00-04:00,732.5,732.81,732.135,732.7,170339,SPY
2026-06-25 13:10:00-04:00,732.69,733.72,732.69,733.22,300186,SPY
2026-06-25 13:15:00-04:00,733.23,734.25,732.49,732.51,303872,SPY
2026-06-25 13:20:00-04:00,732.52,733.07,732.08,732.89,265270,SPY
2026-06-25 13:25:00-04:00,732.92,733.65,732.84,733.26,176168,SPY
2026-06-25 13:30:00-04:00,733.27,733.52,732.62,732.93,473496,SPY
2026-06-25 13:35:00-04:00,732.93,733.55,732.86,733.34,221327,SPY
2026-06-25 13:40:00-04:00,733.33,733.79,732.52,732.63,280614,SPY
2026-06-25 13:45:00-04:00,732.6499,732.65,731.66,731.86,272022,SPY
2026-06-25 13:50:00-04:00,731.83,732.79,731.6,732.57,1049173,SPY
2026-06-25 13:55:00-04:00,732.56,733.58,732.34,733.45,277407,SPY
2026-06-25 14:00:00-04:00,733.44,733.52,731.38,731.93,684404,SPY
2026-06-25 14:05:00-04:00,732.01,733.6,731.73,733.425,389947,SPY
2026-06-25 14:10:00-04:00,733.4,733.99,732.9,733.22,290147,SPY
2026-06-25 14:15:00-04:00,733.23,735.37,732.97,734.82,423139,SPY
2026-06-25 14:20:00-04:00,734.82,735.19,734.21,734.91,545511,SPY
2026-06-25 14:25:00-04:00,734.91,736.06,734.9,735.84,503430,SPY
2026-06-25 14:30:00-04:00,735.83,735.85,733.951,734.02,487104,SPY
2026-06-25 14:35:00-04:00,734.02,734.71,733.6,734.46,429100,SPY
2026-06-25 14:40:00-04:00,734.44,734.49,733.84,733.925,240605,SPY
2026-06-25 14:45:00-04:00,733.92,733.92,732.69,733.565,472887,SPY
2026-06-25 14:50:00-04:00,733.56,734.35,733.395,733.685,225129,SPY
2026-06-25 14:55:00-04:00,733.7,734.09,733.53,733.88,557703,SPY
2026-06-25 15:00:00-04:00,733.93,733.9414,732.73,733.0,278761,SPY
2026-06-25 15:05:00-04:00,732.96,733.23,732.77,733.09,637429,SPY
2026-06-25 15:10:00-04:00,733.09,733.2,732.32,732.38,802619,SPY
2026-06-25 15:15:00-04:00,732.37,732.62,731.87,732.23,600012,SPY
2026-06-25 15:20:00-04:00,732.2501,732.65,732.03,732.65,473041,SPY
2026-06-25 15:25:00-04:00,732.65,732.85,732.0512,732.3924,639433,SPY
2026-06-25 15:30:00-04:00,732.39,732.5,731.76,732.15,613613,SPY
2026-06-25 15:35:00-04:00,732.14,732.15,731.69,732.0892,1177683,SPY
2026-06-25 15:40:00-04:00,732.09,732.33,731.6,731.96,706812,SPY
2026-06-25 15:45:00-04:00,731.976,732.03,731.36,731.755,1173970,SPY
2026-06-25 15:50:00-04:00,731.76,732.61,731.33,732.54,1067447,SPY
2026-06-25 15:55:00-04:00,732.56,733.38,731.94,733.27,3008874,SPY
2026-06-26 09:30:00-04:00,728.945,729.66,726.86,727.86,2579437,SPY
2026-06-26 09:35:00-04:00,727.86,729.13,727.59,728.13,774922,SPY
2026-06-26 09:40:00-04:00,728.11,729.43,727.73,729.24,583008,SPY
2026-06-26 09:45:00-04:00,729.24,729.8,727.97,728.71,691468,SPY
2026-06-26 09:50:00-04:00,728.65,729.65,728.52,729.32,529081,SPY
2026-06-26 09:55:00-04:00,729.39,731.31,729.19,730.895,791514,SPY
2026-06-26 10:00:00-04:00,730.87,732.28,730.63,732.19,962854,SPY
2026-06-26 10:05:00-04:00,732.2,733.15,732.13,733.02,670601,SPY
2026-06-26 10:10:00-04:00,733.0001,733.44,732.4,733.2,636854,SPY
2026-06-26 10:15:00-04:00,733.19,733.57,732.44,732.61,625122,SPY
2026-06-26 10:20:00-04:00,732.61,734.2425,732.47,733.45,590355,SPY
2026-06-26 10:25:00-04:00,733.44,733.94,733.24,733.49,418348,SPY
2026-06-26 10:30:00-04:00,733.49,733.92,733.026,733.365,437501,SPY
2026-06-26 10:35:00-04:00,733.38,733.42,732.12,732.18,490183,SPY
2026-06-26 10:40:00-04:00,732.17,733.08,731.6005,732.17,719234,SPY
2026-06-26 10:45:00-04:00,732.2,733.38,732.05,732.88,328567,SPY
2026-06-26 10:50:00-04:00,732.9,733.23,732.2301,732.53,324677,SPY
2026-06-26 10:55:00-04:00,732.52,732.975,731.86,732.45,330085,SPY
2026-06-26 11:00:00-04:00,732.46,733.4,732.44,732.78,275083,SPY
2026-06-26 11:05:00-04:00,732.8,733.16,732.28,733.06,311474,SPY
2026-06-26 11:10:00-04:00,733.06,733.22,731.94,732.07,325345,SPY
2026-06-26 11:15:00-04:00,732.08,733.23,731.62,733.06,422362,SPY
2026-06-26 11:20:00-04:00,733.03,733.85,732.82,733.8,459844,SPY
2026-06-26 11:25:00-04:00,733.78,734.67,733.668,734.67,572714,SPY
2026-06-26 11:30:00-04:00,734.67,735.61,734.37,734.52,485293,SPY
2026-06-26 11:35:00-04:00,734.52,735.96,734.52,735.7519,459799,SPY
2026-06-26 11:40:00-04:00,735.8,736.53,735.54,736.27,1067168,SPY
2026-06-26 11:45:00-04:00,736.26,736.46,735.545,735.57,299213,SPY
2026-06-26 11:50:00-04:00,735.58,736.04,734.18,734.565,702130,SPY
2026-06-26 11:55:00-04:00,734.55,735.87,734.38,735.4,411465,SPY
2026-06-26 12:00:00-04:00,735.4,735.52,735.09,735.33,307618,SPY
2026-06-26 12:05:00-04:00,735.32,735.4,734.12,734.25,493308,SPY
2026-06-26 12:10:00-04:00,734.24,734.49,733.8,734.12,298964,SPY
2026-06-26 12:15:00-04:00,734.13,734.63,733.78,734.0,378112,SPY
2026-06-26 12:20:00-04:00,734.01,734.14,732.74,733.24,683169,SPY
2026-06-26 12:25:00-04:00,733.24,733.64,733.115,733.42,248333,SPY
2026-06-26 12:30:00-04:00,733.4,734.7,733.4,734.63,399655,SPY
2026-06-26 12:35:00-04:00,734.64,734.78,734.22,734.39,387603,SPY
2026-06-26 12:40:00-04:00,734.42,734.64,733.99,734.03,282984,SPY
2026-06-26 12:45:00-04:00,734.05,734.39,733.85,734.355,242152,SPY
2026-06-26 12:50:00-04:00,734.36,734.9,734.28,734.61,308567,SPY
2026-06-26 12:55:00-04:00,734.6,734.6,734.25,734.47,553633,SPY
2026-06-26 13:00:00-04:00,734.48,735.1899,734.17,734.93,1072586,SPY
2026-06-26 13:05:00-04:00,734.935,735.79,734.91,735.65,503894,SPY
2026-06-26 13:10:00-04:00,735.62,735.86,734.93,735.085,269283,SPY
